company,engine-type,horsepower,average-mileage,price
alfa-romero,dohc,111,21,13495.0
alfa-romero,dohc,111,21,16500.0
alfa-romero,ohcv,154,19,16500.0
audi,ohc,102,24,13950.0
audi,ohc,115,18,17450.0
audi,ohc,110,19,15250.0
audi,ohc,110,19,18920.0
bmw,ohc,101,23,16430.0
bmw,ohc,101,23,16925.0
bmw,ohc,121,21,20970.0
bmw,ohc,182,16,30760.0
bmw,ohc,182,16,41315.0
bmw,ohc,182,15,36880.0
chevrolet,l,48,47,5151.0
chevrolet,ohc,70,38,6295.0
chevrolet,ohc,70,38,6575.0
dodge,ohc,68,31,6377.0
dodge,ohc,68,31,6229.0
honda,ohc,76,30,7295.0
honda,ohc,101,24,12945.0
honda,ohc,100,25,10345.0
isuzu,ohc,78,24,6785.0
jaguar,dohc,176,15,32250.0
jaguar,dohc,176,15,35550.0
jaguar,ohcv,262,13,36000.0
mazda,ohc,68,30,5195.0
mazda,ohc,68,31,6095.0
mazda,ohc,68,31,6795.0
mazda,rotor,101,17,11845.0
mazda,ohc,72,31,18344.0
mercedes-benz,ohc,123,22,25552.0
mercedes-benz,ohc,123,22,28248.0
mercedes-benz,ohcv,184,14,40960.0
mercedes-benz,ohcv,184,14,45400.0
mitsubishi,ohc,68,37,5389.0
mitsubishi,ohc,68,31,6189.0
mitsubishi,ohc,88,25,6989.0
mitsubishi,ohc,88,25,8189.0
nissan,ohc,55,45,7099.0
nissan,ohc,69,31,6649.0
nissan,ohc,69,31,6849.0
nissan,ohc,69,31,7349.0
nissan,ohcv,152,19,13499.0
porsche,ohcf,207,17,34028.0
porsche,ohcf,207,17,37028.0
toyota,ohc,62,35,5348.0
toyota,ohc,62,31,6338.0
toyota,ohc,62,31,6488.0
toyota,ohc,62,31,6918.0
toyota,ohc,62,27,7898.0
toyota,ohc,62,27,8778.0
toyota,dohc,156,19,15750.0
volkswagen,ohc,52,37,7775.0
volkswagen,ohc,85,27,7975.0
volkswagen,ohc,52,37,7995.0
volkswagen,ohc,100,26,9995.0
volvo,ohc,114,23,12940.0
volvo,ohc,114,23,13415.0
