const,COPPERPRICE,INCOMEINDEX,ALUMPRICE,INVENTORYINDEX,World consumption,Date
1.0,26.56,0.7,19.76,0.98,3173.0,1951-01-01
1.0,27.31,0.71,20.78,1.04,3281.1,1952-01-01
1.0,32.95,0.72,22.55,1.05,3135.7,1953-01-01
1.0,33.9,0.7,23.06,0.97,3359.1,1954-01-01
1.0,42.7,0.74,24.93,1.02,3755.1,1955-01-01
1.0,46.11,0.74,26.5,1.04,3875.9,1956-01-01
1.0,31.7,0.74,27.24,0.98,3905.7,1957-01-01
1.0,27.23,0.72,26.21,0.98,3957.6,1958-01-01
1.0,32.89,0.75,26.09,1.03,4279.1,1959-01-01
1.0,33.78,0.77,27.4,1.03,4627.9,1960-01-01
1.0,31.66,0.76,26.94,0.98,4910.2,1961-01-01
1.0,32.28,0.79,25.18,1.0,4908.4,1962-01-01
1.0,32.38,0.83,23.94,0.97,5327.9,1963-01-01
1.0,33.75,0.85,25.07,1.03,5878.4,1964-01-01
1.0,36.25,0.89,25.37,1.08,6075.2,1965-01-01
1.0,36.24,0.93,24.55,1.05,6312.7,1966-01-01
1.0,38.23,0.95,24.98,1.03,6056.8,1967-01-01
1.0,40.83,0.99,24.96,1.03,6375.9,1968-01-01
1.0,44.62,1.0,25.52,0.99,6974.3,1969-01-01
1.0,52.27,1.0,26.01,1.0,7101.6,1970-01-01
1.0,45.16,1.02,25.46,0.96,7071.7,1971-01-01
1.0,42.5,1.07,22.17,0.97,7754.8,1972-01-01
1.0,43.7,1.12,18.56,0.98,8480.3,1973-01-01
1.0,47.88,1.1,21.32,1.01,8105.2,1974-01-01
1.0,36.33,1.07,22.75,0.94,7157.2,1975-01-01
